"<strong>Your Esendex account %s has expired or your account details are incorrect. </strong>To continue sending SMS <a href=""%s"" target=""_blank"">buy messages</a> or contact us at <a href=""mailto:support@esendex.com"">support@esendex.com.</a>","<strong>Ihr Esendex-Konto %s ist nicht mehr gültig oder Ihre Kontodaten sind inkorrekt. </strong>Um weiterhin SMS zu versenden,  <a href=""%s"" target=""_blank"">kaufen Sie bitte neue Nachrichten</a> oder kontaktieren Sie uns unter <a href=""mailto:support@esendex.de"">support@esendex.de.</a>"
"<strong>You have %d days left on your Esendex account %s. </strong><a href=""%s"" target=""_blank"">Buy messages</a> to extend your account.","<strong>Ihr Esendex-Konto ist nur noch %d Tage lang gültig. </strong><a href=""%s"" target=""_blank"">Kaufen Sie neue Nachrichten,</a> um Ihr Konto zu verlängern."
"Your Esendex account %1$s has %2$d messages left","Auf Ihrem Esendex-Konto %1$s sind noch %2$d Nachrichten verbleibend."
,
"Add New Notification","Neue Nachricht hinzufügen"
"Manage Existing Notifications","Bestehende Nachrichten verwalten"
"Mobile Sales Report","Verkaufsbericht für den mobilen Vertrieb"
"View Sent Messages","Gesendete Nachrichten ansehen"
"Settings","Einstellungen"
,
"Esendex Module Configuration","Esendex-Modul Konfiguration"
"Esendex Account Reference","Esendex Referenzkonto"
"Your Esendex account reference number e.g. EX0012345","Referenznummer Ihres Esendex-Kontos z.B. EX0012345"
"Esendex Username","Esendex Benutzername"
"Your Esendex username, typically your email address e.g. joe.bloggs@company.com","Ihr Esendex Benutzername, normalerweise Ihre E-Mail Adresse z.B. joe.bloggs@company.com"
"Esendex Password","Esendex Passwort"
"Your Esendex password","Ihr Esendex Passwort"
"Warn me when messages go below","Bitte erinnern, wenn weniger als x Nachrichten verbleibend sind"
"Debug Mode","Debug Modus"
"Toggle debug mode. Useful for logging API calls and other important information","Debug Modus aktivieren. Hilfreich für API Registrierungs-Anrufe und weitere wichtige Informationen"
"Enable SMS Sending","SMS-Versand aktivieren"
"Select 'No' to disable SMS sending","""Nein"" auswählen, um den SMS Versand zu deaktivieren"
"Schedule Mobile Sales Report","Verkaufsbericht für den mobilen Vertrieb erstellen"
"Cron Time","Cron Zeit"
"Sales Reports will be sent at this time each day.","Verkaufsberichte werden täglich zu dieser Zeit versendet."
,
"Order Shipped","Bestellung wurde versendet"
"Order Shipped with Tracking","Bestellung wurde mit Nachverfolgung versendet"
"Order Status Changed - Canceled","Änderung des Bestellstatus - Storniert"
"Order Status Changed - Closed","Änderung des Bestellstatus - Abgeschlossen"
"Order Status Changed - Complete","Änderung des Bestellstatus - Fertiggestellt"
"Order Status Changed - On Hold","Änderung des Bestellstatus - Angehalten"
"Order Status Changed - Payment Review","Änderung des Bestellstatus - Überprüfung der Zahlung"
"Order Status Changed - Pending","Änderung des Bestellstatus - Ausstehend"
"Order Status Changed - Pending Payment","Änderung des Bestellstatus - Ausstehende Zahlung"
"Order Status Changed - Processing","Änderung des Bestellstatus - In Bearbeitung"
"Order Status Changed - Suspected Fraud","Änderung des Bestellstatus - Verdacht auf Betrug"
,
"Add New Notification","Neue Benachrichtigung hinzufügen"
"Notification","Benachrichtigung"
"Event","Veranstaltung"
"Please Select Event","Veranstaltung auswählen"
"Store Views","Shop Besuche"
"Continue","Weiter"
"Save and Continue Edit","Speichern und weiter bearbeiten"
,
"Add New Notification for Event '%s'","Neue Benachrichtigung zur Veranstaltung hinzufügen '%s'"
"Notification","Benachrichtigung"
"From","Von"
"This is who your message will show as being from on the receiving handset e.g. Mystore.","Das ist der Absender der dem Empfänger auf seinem Empfangsgerät angezeigt wird z.B. Mystore."
"Message","Nachricht"
"These counts do not include variables.","Diese Anzahl beinhaltet keine Variablen"
"Reset to Default Message","Auf Standardnachricht zurücksetzen"
"Available Variables","Verfügbare Variablen"
"For more information about using variables please visit our <a target=""_blank"" href=""%s"">support page</a>","Für weitere Informationen bezüglich der Verwendung von Variablen besuchen Sie bitte <a target=""_blank"" href=""%s"">unsere Support Seite</a>"
"Description","Beschreibung"
"Status","Status"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Save Notification","Nachricht speichern"
,
"Edit Notification '%s' for event '%s'","Nachricht '%s' für die Veranstaltung '%s' ändern"
"Delete Notification","Benachrichtigung löschen"
,
"Please select the Event Type","Bitte Art der Veranstaltung wählen"
"Message contains variables which are not available","Nachricht enthält nicht verfügbare Variablen"
"Message must be between 1 and 612 characters","Nachricht muss zwischen 1 und 612 Zeichen lang sein"
,
"Manage Notifications","Benachrichtigungen verwalten"
,
"Id","ID"
"Event","Veranstaltung"
"Description","Beschreibung"
"Status","Status"
