"<strong>Your Esendex account %s has expired or your account details are incorrect. </strong>To continue sending SMS <a href=""%s"" target=""_blank"">buy messages</a> or contact us at <a href=""mailto:support@esendex.com"">support@esendex.com.</a>","<strong>Tu cuenta de Esendex %s ha expirado o se han introducido datos incorrectos. </strong>Por favor, contacta a <a href=""mailto:soporte@esendex.com"">soporte@esendex.com</a> o entra en tu cuenta para <a href=""%s"" target=""_blank"">comprar más SMS.</a>"
"<strong>You have %d days left on your Esendex account %s. </strong><a href=""%s"" target=""_blank"">Buy messages</a> to extend your account.","<strong>Tienes %d días hasta que caduque tu cuenta Esendex %s. </strong><a href=""%s"" target=""_blank"">Puedes comprar mensajes</a> para que tu cuenta no caduque."
"Your Esendex account %1$s has %2$d messages left","Tu cuenta %1$s Esendex tiene %2$d créditos SMS disponibles"
,
"Add New Notification","Añadir Notificación Nueva"
"Manage Existing Notifications","Administrar Notificaciones existentes"
"Mobile Sales Report","Informe de Ventas Móvil"
"View Sent Messages","Ver mensajes enviados"
"Settings","Ajustes"
,
"Esendex Module Configuration","Configuración del modulo Esendex"
"Esendex Account Reference","Referencia de cuenta Esendex"
"Your Esendex account reference number e.g. EX0012345","Ejemplo de tu número de referencia de cuenta de Esendex EX0012345"
"Esendex Username","Nombre de usuario Esendex"
"Your Esendex username, typically your email address e.g. joe.bloggs@company.com","Tu nombre de usuario Esendex normalmente es tu email, por ejemplo, joe.bloggs@company.com"
"Esendex Password","Contraseña Esendex"
"Your Esendex password","Tu contraseña Esendex"
"Warn me when messages go below","Avisarme cuando los créditos de SMS esten por debajo de x"
"Debug Mode","Modo Debug"
"Toggle debug mode. Useful for logging API calls and other important information","Activar el modo debug. Útil para comunicación con una API e información importante"
"Enable SMS Sending","Habilitar el envío de SMS"
"Select 'No' to disable SMS sending","Selecciona ""No"" para desactivar el envío de SMS"
"Schedule Mobile Sales Report","Programa Informe de Ventas Móvil"
"Cron Time","Tiempo de Cron"
"Sales Reports will be sent at this time each day.","Informes de Ventas se enviarán a esta hora todos los días."
,
"Order Shipped","Pedido Enviado"
"Order Shipped with Tracking","Pedido Enviado con Tracking"
"Order Status Changed - Canceled","Cambio en el estado del pedido - Cancelado"
"Order Status Changed - Closed","Cambio en el estado del pedido – Cerrado"
"Order Status Changed - Complete","Cambio en el estado del pedido - Completa"
"Order Status Changed - On Hold","Cambio en el estado del pedido - En Espera"
"Order Status Changed - Payment Review","Cambio en el estado del pedido - Revisión de pago"
"Order Status Changed - Pending","Cambio en el estado del pedido - Pendiente"
"Order Status Changed - Pending Payment","Cambio en el estado del pedido - Pago Pendiente"
"Order Status Changed - Processing","Cambio en el estado del pedido - Procesando"
"Order Status Changed - Suspected Fraud","Cambio en el estado del pedido - Sospecha Fraude"
,
