"<strong>Your Esendex account %s has expired or your account details are incorrect. </strong>To continue sending SMS <a href=""%s"" target=""_blank"">buy messages</a> or contact us at <a href=""mailto:support@esendex.com"">support@esendex.com.</a>","<strong>Votre compte Esendex %s a expiré ou les paramètres de votre compte sont incorrects. </strong>Pour continuer à envoyer des SMS, veuillez <a href=""%s"" target=""_blank"">acheter des SMS</a> ou nous contacter via <a href=""mailto:support@esendex.fr"">support@esendex.fr.</a>"
"<strong>You have %d days left on your Esendex account %s. </strong><a href=""%s"" target=""_blank"">Buy messages</a> to extend your account.","<strong>Votre compte Esendex %2$s sera encore valide durant %1$d jours. </strong><a href=""%3$s"" target=""_blank"">Acheter des SMS</a> afin de prolonger votre compte."
"Your Esendex account %1$s has %2$d messages left","Il ne vous reste plus que %2$d crédits disponibles sur votre compte %1$s."
,
"Add New Notification","Ajouter une Nouvelle Notification"
"Manage Existing Notifications","Gérer les Notifications Existantes"
"Mobile Sales Report","Rapport de Ventes sur Mobiles"
"View Sent Messages","Voir les Messages Envoyés"
"Settings","Paramètres"
,
"Esendex Module Configuration","Configuration du module Esendex"
"Esendex Account Reference","Référence de compte Esendex"
"Your Esendex account reference number e.g. EX0012345","Le numéro de référence de votre compte Esendex (exemple : EX0012345)"
"Esendex Username","Nom d'utilisateur Esendex"
"Your Esendex username, typically your email address e.g. joe.bloggs@company.com","Votre nom d'utilisateur Esendex, normalement votre adresse email (exemple : joe.bloggs@company.com)"
"Esendex Password","Mot de passe Esendex"
"Your Esendex password","Votre mot de passe Esendex"
"Warn me when messages go below","Me prévenir quand le nombre de SMS est inférieur à"
"Debug Mode","Mode Débogage"
"Toggle debug mode. Useful for logging API calls and other important information","Activer le mode débogage. Utile pour les appels API et autres informations importantes"
"Enable SMS Sending","Activer l'Envoi de SMS"
"Select 'No' to disable SMS sending","Selectionnez ""Non"" pour désactiver l'envoi de SMS"
"Schedule Mobile Sales Report","Programmer le Rapport de Ventes sur Mobiles"
"Cron Time","Horaire du Cron"
"Sales Reports will be sent at this time each day.","Les Rapports de Ventes seront envoyés à cette heure chaque jour."
,
"Order Shipped","Commande Expédiée"
"Order Shipped with Tracking","Commande Expédiée avec Suivi"
"Order Status Changed - Canceled","Statut de Commande Changé - Annulée"
"Order Status Changed - Closed","Statut de Commande Changé - Fermée"
"Order Status Changed - Complete","Statut de Commande Changé - Traitée"
"Order Status Changed - On Hold","Statut de Commande Changé - Suspendue"
"Order Status Changed - Payment Review","Statut de Commande Changé - Vérification de paiement"
"Order Status Changed - Pending","Statut de Commande Changé - En attente"
"Order Status Changed - Pending Payment","Statut de Commande Changé - Paiement en attente"
"Order Status Changed - Processing","Statut de Commande Changé - En cours de traitement"
"Order Status Changed - Suspected Fraud","Statut de Commande Changé - Fraude suspectée"
,
"Add New Notification","Ajouter une nouvelle Notification"
"Notification","Notification"
